"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-01-26,"BC","All","All",0,0
2020-01-26,"BC","Fraser","All",0,0
2020-01-26,"BC","Fraser","Fraser East",0,0
2020-01-26,"BC","Fraser","Fraser North",0,0
2020-01-26,"BC","Fraser","Fraser South",0,0
2020-01-26,"BC","Fraser","Unknown",0,0
2020-01-26,"BC","Interior","All",0,0
2020-01-26,"BC","Interior","East Kootenay",0,0
2020-01-26,"BC","Interior","Kootenay Boundary",0,0
2020-01-26,"BC","Interior","Okanagan",0,0
2020-01-26,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-01-26,"BC","Northern","All",0,0
2020-01-26,"BC","Northern","Northeast",0,0
2020-01-26,"BC","Northern","Northern Interior",0,0
2020-01-26,"BC","Northern","Northwest",0,0
2020-01-26,"BC","Vancouver Coastal","All",0,0
2020-01-26,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,0
2020-01-26,"BC","Vancouver Coastal","Richmond",0,0
2020-01-26,"BC","Vancouver Coastal","Unknown",0,0
2020-01-26,"BC","Vancouver Coastal","Vancouver",0,0
2020-01-26,"BC","Vancouver Island","All",0,0
2020-01-26,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-01-26,"BC","Vancouver Island","North Vancouver Island",0,0
2020-01-26,"BC","Vancouver Island","South Vancouver Island",0,0
2020-01-26,"BC","Vancouver Island","Unknown",0,0
2020-01-26,"Out of Canada","Out of Canada","Out of Canada",1,0
2020-01-27,"BC","All","All",0,0
2020-01-27,"BC","Fraser","All",0,0
2020-01-27,"BC","Fraser","Fraser East",0,0
2020-01-27,"BC","Fraser","Fraser North",0,0
2020-01-27,"BC","Fraser","Fraser South",0,0
2020-01-27,"BC","Fraser","Unknown",0,0
2020-01-27,"BC","Interior","All",0,0
2020-01-27,"BC","Interior","East Kootenay",0,0
2020-01-27,"BC","Interior","Kootenay Boundary",0,0
2020-01-27,"BC","Interior","Okanagan",0,0
2020-01-27,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-01-27,"BC","Northern","All",0,0
2020-01-27,"BC","Northern","Northeast",0,0
2020-01-27,"BC","Northern","Northern Interior",0,0
2020-01-27,"BC","Northern","Northwest",0,0
2020-01-27,"BC","Vancouver Coastal","All",0,0
2020-01-27,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,0
2020-01-27,"BC","Vancouver Coastal","Richmond",0,0
2020-01-27,"BC","Vancouver Coastal","Unknown",0,0
2020-01-27,"BC","Vancouver Coastal","Vancouver",0,0
2020-01-27,"BC","Vancouver Island","All",0,0
2020-01-27,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-01-27,"BC","Vancouver Island","North Vancouver Island",0,0
2020-01-27,"BC","Vancouver Island","South Vancouver Island",0,0
2020-01-27,"BC","Vancouver Island","Unknown",0,0
2020-01-27,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-01-28,"BC","All","All",0,0
2020-01-28,"BC","Fraser","All",0,0
2020-01-28,"BC","Fraser","Fraser East",0,0
2020-01-28,"BC","Fraser","Fraser North",0,0
2020-01-28,"BC","Fraser","Fraser South",0,0
2020-01-28,"BC","Fraser","Unknown",0,0
2020-01-28,"BC","Interior","All",0,0
2020-01-28,"BC","Interior","East Kootenay",0,0
2020-01-28,"BC","Interior","Kootenay Boundary",0,0
2020-01-28,"BC","Interior","Okanagan",0,0
2020-01-28,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-01-28,"BC","Northern","All",0,0
2020-01-28,"BC","Northern","Northeast",0,0
2020-01-28,"BC","Northern","Northern Interior",0,0
2020-01-28,"BC","Northern","Northwest",0,0
2020-01-28,"BC","Vancouver Coastal","All",0,0
2020-01-28,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,0
2020-01-28,"BC","Vancouver Coastal","Richmond",0,0
2020-01-28,"BC","Vancouver Coastal","Unknown",0,0
2020-01-28,"BC","Vancouver Coastal","Vancouver",0,0
2020-01-28,"BC","Vancouver Island","All",0,0
2020-01-28,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-01-28,"BC","Vancouver Island","North Vancouver Island",0,0
2020-01-28,"BC","Vancouver Island","South Vancouver Island",0,0
2020-01-28,"BC","Vancouver Island","Unknown",0,0
2020-01-28,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-01-29,"BC","All","All",0,0
2020-01-29,"BC","Fraser","All",0,0
2020-01-29,"BC","Fraser","Fraser East",0,0
2020-01-29,"BC","Fraser","Fraser North",0,0
2020-01-29,"BC","Fraser","Fraser South",0,0
2020-01-29,"BC","Fraser","Unknown",0,0
2020-01-29,"BC","Interior","All",0,0
2020-01-29,"BC","Interior","East Kootenay",0,0
2020-01-29,"BC","Interior","Kootenay Boundary",0,0
2020-01-29,"BC","Interior","Okanagan",0,0
2020-01-29,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-01-29,"BC","Northern","All",0,0
2020-01-29,"BC","Northern","Northeast",0,0
2020-01-29,"BC","Northern","Northern Interior",0,0
2020-01-29,"BC","Northern","Northwest",0,0
2020-01-29,"BC","Vancouver Coastal","All",0,0
2020-01-29,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,0
2020-01-29,"BC","Vancouver Coastal","Richmond",0,0
2020-01-29,"BC","Vancouver Coastal","Unknown",0,0
2020-01-29,"BC","Vancouver Coastal","Vancouver",0,0
2020-01-29,"BC","Vancouver Island","All",0,0
2020-01-29,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-01-29,"BC","Vancouver Island","North Vancouver Island",0,0
2020-01-29,"BC","Vancouver Island","South Vancouver Island",0,0
2020-01-29,"BC","Vancouver Island","Unknown",0,0
2020-01-29,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-01-30,"BC","All","All",0,0
2020-01-30,"BC","Fraser","All",0,0
2020-01-30,"BC","Fraser","Fraser East",0,0
2020-01-30,"BC","Fraser","Fraser North",0,0
2020-01-30,"BC","Fraser","Fraser South",0,0
2020-01-30,"BC","Fraser","Unknown",0,0
2020-01-30,"BC","Interior","All",0,0
