place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"hamilton, ontario ",on,43.2557,-79.8711,non-essential business ,$750 fine,yes,880,1,1,business,mar,hamilton police service,emergency management act,"shisha kaif cafe,  hookah lounge",covid-19: hamilton police arrest alleged drug dealer  for violating shutdown of non-essential businesses,https://nationalpost.com/news/covid-19-hamilton-police-arrest-alleged-drug-dealer-for-violating-shutdown-of-non-essential-businesses,
"quebec city, quebec",qc,46.8139,-71.208,disobeying 14-day self-isolation quarantine order after testing positive for covid-19,arrest,no,NA,1,1,individual,mar,service de police de la ville de quebec,public health act,woman,a woman who tested positive for covid-19 was arrested in quebec city after she left isolation,https://montreal.ctvnews.ca/mobile/a-woman-who-tested-positive-for-covid-19-was-arrested-in-quebec-city-after-she-left-isolation-1.4862611?fbclid=IwAR2wjwS9qJL75XWw7R-adA-BV3cYmLaJAwYKqg5mVMpoq94QK5IKuIDe49w,
"corner brook, newfoundland ",nf,48.949,-57.9503,disobeyed mandatory 14-day quarantine imposed due to recently travelling into the province,"arrest, one night in jail,  fine of betweenê$500 and $2,500",yes,500,1,1,individual,mar,royal newfoundland constabulary,public health and promotion act,woman,n.l. woman arrested for refusing to self-isolate after talking to police ,https://atlantic.ctvnews.ca/n-l-woman-arrested-for-refusing-to-self-isolate-after-talking-to-police-1.4867570,
"rothesay, new brunswick, canada",nb,45.3765,-65.9915,coughing on people after failing to self-isolate,assault ,no,NA,2,2,individual,mar,kennebecasis regional police force,criminal code,two men,two new brunswick men charged with assault for coughing on others,https://beta.ctvnews.ca/local/atlantic/2020/3/26/1_4870505.html,
"ottawa, ontario ",on,45.4215,-75.6972,spitting at police and claiming to have covid-19 while attempting to steal a bicycle,assault,no,NA,1,1,individual,mar,ottawa police service,criminal code,man,"assault charges laid after man spit on ottawa police officer, saying he had covid-19",https://www.ottawamatters.com/police-beat/assault-charges-laid-after-man-spit-on-ottawa-police-officer-saying-he-had-covid-19-2205546,
"truro, nova scotia ",ns,45.3658,-63.2869,disobeyed mandatory 14-day quarantine imposed due to recently travelling into the province,"$1,000 fine ",yes,1000,1,1,individual,mar,truro police service,public health act,man,truro man ticketed for failing to self isolate,https://atlantic.ctvnews.ca/truro-man-ticketed-for-failing-to-self-isolate-1.4873457,
"point pleasant park, halifax, nova scotia ",ns,44.6233,-63.5686,disobeying park closure measures ,"$697.50 fine, vehicle seized",yes,697.5,1,1,individual,mar,halifax regional police,emergency management act,woman,"halifax police seize vehicle, issue ticket to woman violating covid-19 emergency order",https://globalnews.ca/news/6748452/halifax-police-issue-ticket-covid-19-emergency-order/,
"loon lake, saskatchewan",sk,54.0262,-109.1585,gatherings of more than 10 people without maintaining a two-metre distance between people,$2000 fine,yes,2000,11,11,individual,mar,royal canadian mounted police,public health act,"10 adults, one youth, stolen vehicle, weapons invovled ",chase of suspicious suv ends with 11 occupants charged with breaking covid-19 law,https://www.carlyleobserver.com/chase-of-suspicious-suv-ends-with-11-occupants-charged-with-breaking-covid-19-law-1.24108639,
"dartmouth, nova scotia ",ns,44.6661,-63.5676,disobeying emergency parking regulations,$697.50 fine ,yes,697.5,1,1,individual,mar,halifax regional police,emergency management act,man,dartmouth man fined $697.50 under emergency management act,https://www.halifaxtoday.ca/police-beat/dartmouth-man-fined-69750-under-emergency-management-act-2214542?utm_source=dlvr.it&utm_medium=twitter,
"hamilton, ontario ",on,43.2557,-79.9081,non-essential business,$750 fine,yes,880,1,1,business,mar,hamilton police service,"emergency management act, criminal code","man, independent drug dealer",hamilton police arrest alleged drug dealer  for violating shutdown of non-essential businesses,https://nationalpost.com/news/covid-19-hamilton-police-arrest-alleged-drug-dealer-for-violating-shutdown-of-non-essential-businesses,
"edmonton, alberta",ab,53.5461,-113.4938,threatending  ex-partner claiming to have covid-19,uttering threats ,no,NA,1,1,individual,apr,edmonton police service,criminal code ,man,man showing up at exs home saying he has covid-19 leads to charges: edmonton police,https://globalnews.ca/news/6775924/edmonton-police-uttering-threats-covid-19/ ,
"gatineau, quebec",qc,45.4765,-75.7013,lying about a positive covid-19 diagnosis,obstructing a peace officer ,no,NA,1,1,individual,mar,service depoliceêde la ville deêgatineau,criminal code,woman,gatineau woman facing charges for lying about covid-19 diagnosis,https://montreal.ctvnews.ca/gatineau-woman-facing-charges-for-lying-about-covid-19-diagnosis-1.4881990,
